,DAY,MAE,RMSE,ME,MODEL ST.DEV,PBIAS,MOD_MEAN,OBS_MEAN,Data Points
0,8.0,0.23539508196721393,0.23539508196721393,0.23539508196721393,0.0,-2.200571019605627,10.932395081967215,10.697000000000001,1
0,56.0,1.1030814495254528,1.119033045712741,1.1030814495254528,0.729940704882281,-11.39429242356629,10.78408144952545,9.681000000000001,19
0,84.0,0.3579846860643183,0.3579846860643183,-0.3579846860643183,0.0,3.2997021482562294,10.491015313935682,10.849,1
0,113.0,0.6976843442622951,0.7433542685727634,0.6976843442622951,1.2444161807068077,-8.142408924083142,9.266209344262295,8.568525000000001,20
0,127.0,0.16041666666666643,0.16041666666666643,-0.16041666666666643,0.0,1.6538653195181856,9.539083333333334,9.6995,1
0,168.0,0.8675867888138863,1.1789292804631943,-0.34647145612343316,1.5473362276520102,4.633793371173287,7.13058736740598,7.477058823529411,17
0,203.0,0.2320000000000002,0.23212963332299208,-0.2320000000000002,0.0,2.914206757944984,7.729,7.961000000000001,3
0,225.0,0.9335007127583748,1.16574881057604,-0.6546126158232358,2.8057743039727687,11.822839210769292,4.882235210263721,5.536847826086956,23
0,271.0,0.9028758401345343,1.2868363024622087,-0.2139176434132227,3.3934277675130025,4.11168568886626,4.988757356586777,5.202675000000001,20
0,294.0,0.6301218579234972,0.7494311764589715,-0.46202841530054606,3.7578349214558395,9.431396903355482,4.436804918032788,4.898833333333332,18
0,328.0,0.2314999999999987,0.2314999999999987,0.2314999999999987,0.0,-2.606248240923149,9.113999999999999,8.8825,1
0,343.0,0.11226639344262268,0.14759457448544644,0.11052486338797778,0.08457768071067927,-1.107315623042791,10.091858196721311,9.981333333333334,24
0,385.0,0.11910819672130835,0.11910819672130835,-0.11910819672130835,0.0,1.067947608009579,11.03389180327869,11.152999999999999,1
0,420.0,0.528184133489461,0.6669246022011868,0.4408287470725992,0.28905035945734514,-4.316703970942479,10.652989461358315,10.212160714285716,28
0,434.0,0.27705787037037055,0.27705787037037055,-0.27705787037037055,0.0,2.461095894917793,10.98044212962963,11.2575,1
0,502.0,0.11250000000000071,0.11250000000000071,-0.11250000000000071,0.0,1.12674645700837,9.872,9.9845,1
0,547.0,1.1808382513661206,1.6382924442348112,-0.4255645901639345,1.2624863060961424,5.616383230796791,7.151635409836064,7.577200000000001,30
0,554.0,0.36406557377049253,0.36406557377049253,-0.36406557377049253,0.0,4.211284832510035,8.280934426229507,8.645,1
0,596.0,0.810754098360656,1.0687146122327946,-0.4683877679697353,2.2402423497722883,8.58379111403376,4.988266078184111,5.456653846153847,26
0,621.0,0.8561923076923081,0.8561923076923081,-0.8561923076923081,0.0,10.126461356502757,7.598807692307692,8.455,1
0,665.0,0.8831879098360654,1.0344169234132978,-0.8831879098360654,3.329179217005847,13.64905830850378,5.587499590163935,6.4706874999999995,16
0,679.0,1.2185510204081638,1.2185510204081638,-1.2185510204081638,0.0,12.40508012224538,8.604448979591837,9.823,1
0,721.0,0.8054722572509463,0.811815774237817,0.8054722572509463,0.06694718886350609,-8.237240820064823,10.583895334174024,9.778423076923076,26
0,AVG,0.7650778442966888,1.0234460711837057,-0.019505935631583364,3.152076508876162,0.250790345068985,7.758279778654131,7.777785714285715,280
